original	corrected	confidence
Glamstrund 8	Glamsterdam devnet 8	high
Nethermine	Nethermind	high
definite men	devnet	high
blow us	blobs	medium
Nethermine	Nethermind	high
Progressive SSE	Progressive SSZ	high
SSC	SSZ	high
SSV	SSZ	high
SSS	SSZ	high
Higota	Hegota	high
Hagoda	Hegota	high
Eregon	Erigon	high
EriGo	Erigon	high
Dreth	Reth	high
Breath	Reth	high
GetH	Geth	high
Geff	Geth	high
Ref	Reth	medium
Raf	Reth	medium
DevNet 9	devnet 9	medium
DevNet 8	devnet 8	medium
DevNut	devnet	high
Amsterdam DevNet 8	Glamsterdam devnet 8	high
glamps are done	Glamsterdam	high
EPBS	ePBS	medium
HESI	FOCIL	medium
EnginePI	Engine API	medium
AD37	EIP-8037	medium
8037	EIP-8037	medium
8047	EIP-8047	medium
PawVel	Pawel	medium
