original	corrected	confidence
Glamstam	Glamsterdam	high
Baldevident	bal-devnet	high
Glamstam DevNet	Glamsterdam DevNet	high
BaldevNet	bal-devnet	high
Baldevnet	bal-devnet	high
Baldevident	bal-devnet	high
Netherland	Nethermind	high
Aragon	Erigon	high
Nevermind	Nethermind	high
Bazoo	Besu	high
Bezu	Besu	high
Glamstadam	Glamsterdam	high
Gramstrom	Glamsterdam	high
Glampe	Glamsterdam	high
Glamstum	Glamsterdam	high
Glamstone	Glamsterdam	high
Glamstuff	Glamsterdam	high
GlamSumDevNote	Glamsterdam devnet	high
Glamstam DevNet	Glamsterdam devnet	high
Clamestown	Glamsterdam	high
Bell DevNet	bal-devnet	high
valveNet	bal-devnet	high
Bio.NET	bal-devnet	high
Bell DevNet	bal-devnet	high
BaldevNet	bal-devnet	high
Prism	Prysm	high
Amsterdam DevNet	Glamsterdam devnet	high
Hector	Hegota	medium
sub-struct borer	self-destruct burn	medium
