original	corrected	confidence
Fossil	FOCIL	high
fossil	FOCIL	high
LowStar	Lodestar	high
Bezu	Besu	high
bezel	Besu	high
Edgoda	Hagota	medium
Ithrex	ethrex	high
eTrex	ethrex	high
EtherX	ethrex	high
Deku	Teku	high
Glow Wash	Gloas	medium
EPBS	ePBS	high
Tegu	Teku	high
White House	Lighthouse	high
TechCore	Teku	medium
Lostar	Lodestar	high
Basu	Besu	high
Basil	Besu	medium
Hagoda	Hagota	medium
Hagora	Hegota	medium
Hagota	Hegota	medium
Hagar	Hegota	medium
EGOTA	Hegota	high
GLAM	Glamsterdam	medium
glamster 114	Glamsterdam devnet	medium
Glam DevNet4	Glamsterdam devnet 4	medium
Calamity F4	Glamsterdam devnet 4	medium
Collect DevNet 4	Glamsterdam devnet 4	medium
Haggot	Hegota	high
Amsterdam	Glamsterdam	medium
Balls	BAL	medium
balls	BAL	medium
Ball	BAL	medium
ACDT	ACDC	medium
