original	corrected	confidence
ACDSA	ECDSA	high
Dalithium	Dilithium	high
dilating	Dilithium	high
Solidium	Solidity	high
validity	Solidity	medium
Dalitim	Dilithium	high
Dariva	Riva Labs	low
Dilidium	Dilithium	high
LIN	Lean	medium
Lin	Lean	medium
Dilitium	Dilithium	high
misunderstandardized dilating	mistandardized Dilithium	low
Jardin	Jordan	medium
Jardine	Jordan	medium
LFJLab	LFG Labs	medium
LFG Labs	LFG Labs	high
Rivolabs	Riva Labs	medium
revival apps	Riva Labs	medium
Revalabs	Riva Labs	medium
Riva Labs	Riva Labs	high
Sphinx	SPHINCS	medium
Sphinx Minus	SPHINCS+	medium
Sphinx Plus	SPHINCS+	medium
force	FORS	medium
Forzo	FORS	medium
Fords	FORS	medium
Falcon Simple Wallet	Falcon SimpleWallet	low
verity	Verity	low
Verity	Verity	high
