original	corrected	confidence
Flock	FLOC	low
zkboo	zkBoo	low
zkable	zkBoo	low
zkaboo	zkBoo	low
Zkiboo	zkBoo	medium
Zkaboo	zkBoo	medium
SP1	SP1	low
ETC	EthCC	low
EIP39	BIP39	high
elliptive	elliptic	high
arithmized	arithmetized	medium
ZCCP256K1	secp256k1	high
Beaceland	Nano S	low
DS Plus	Nano S Plus	low
annualized plus	Nano S Plus	medium
Bolos	BOLOS	medium
SecureIS	Secure OS	medium
gcaper	Groth16	low
SLOT	WOTS	low
bag it	hypertree	low
kitchen	keygen	medium
hair	hypertree	low
lot	leaf	low
Sphinx	SPHINCS+	high
sphinx	SPHINCS+	high
SFI	SPHINCS+	low
sphinx plus	SPHINCS+	high
zync bus	zkSNARK	low
Sugi	daisy	low
