original	corrected	confidence
EPBS	ePBS	high
Prism	Prysm	high
Nevermind	Nethermind	high
Basil	Besu	high
Ball DevNet	BAL DevNet	high
Ball DevNet 3	BAL DevNet 3	high
Ball DevNet 4	BAL DevNet 4	high
Bell DevNet	BAL DevNet	high
Bell DevNet 3	BAL DevNet 3	high
Bell DevNet 4	BAL DevNet 4	high
Bell.net	BAL DevNet	high
Ball.net	BAL DevNet	high
Baldevnet	BAL DevNet	high
BioDefNet	BAL DevNet	high
Bell Definite	BAL DevNet	high
Ball Definite	BAL DevNet	high
glamster	Glamsterdam	medium
glamster devNet	Glamsterdam DevNet	medium
glamsterdam devNet	Glamsterdam DevNet	medium
Clemson definite	Glamsterdam DevNet	medium
creatures and roadmaps	Glamsterdam DevNet	medium
glamps are in	Glamsterdam	medium
glamaps	Glamsterdam	medium
Blog level access list	Block Level Access Lists	medium
blog-level access list	Block Level Access Lists	medium
block-level access list	Block Level Access Lists	medium
BlockView Access List	Block Level Access Lists	medium
NetherMite	Nethermind	high
