original	corrected	confidence
HCC	ECC	medium
FCC	ECC	medium
Alcardia's	All Core Devs	high
Prism	Prysm	high
Pandop's	Parithosh's	medium
Taku	Teku	high
glamster	Glamsterdam	high
Glunsterdam	Glamsterdam	high
gramster	Glamsterdam	high
Gumpster	Glamsterdam	high
Grumpstreet	Glamsterdam	high
gram certain	Glamsterdam	high
grams return	Glamsterdam	medium
Basil	Besu	high
Basel	Besu	high
Bazo	Besu	medium
Netherlands	Nethermind	high
Netherland	Nethermind	high
Aragon	Erigon	high
Reth	Reth	high
Glamstronam	Glamsterdam	high
Glampstream	Glamsterdam	high
Autodesk	All Core Devs	medium
