original	corrected	confidence
Glam Cidam	Glamsterdam	high
Wambsidam	Glamsterdam	high
Wambsidum	Glamsterdam	high
PRISM	Prysm	high
Prism	Prysm	high
prison	Prysm	high
Hagata	Hegota	high
Heikota	Hegota	high
Hikota	Hegota	high
Hze	Hegota	medium
H-star	Hegota	low
DefNet	devnet	high
TemNet	devnet	high
SSE	SSZ	high
SSS route	SSZ root	high
SSSAT route	SSZ root	high
sizz route	SSZ root	high
SSC	SSZ	high
POTUS	Potuz	high
Polis	Potuz	medium
Polo's	Potuz	medium
Polos	Potuz	medium
Wrath	Reth	high
Eden	Etan	medium
Gotti	Gottfried	low
PostQuiltum	Post Quantum	medium
CKVM	ZKVM	medium
CKVMs	ZKVMs	medium
BRF	VRF	medium
Glamstad	Glamsterdam	high
