original	corrected	confidence
Beizu	Besu	high
Defnit 8	devnet 8	high
Definit 11	devnet 11	high
Definite Aid	devnet 8	high
Glamstam	Glamsterdam	high
Hagota	Hegota	high
Hagita	Hegota	high
Nevermind	Nethermind	high
GEF	Geth	high
GAF	Geth	high
Prism	Prysm	high
LoadStar	Lodestar	high
EPBS	ePBS	high
Bows	blobs	medium
fossil	FOCIL	high
Fossil	FOCIL	high
frames	EIP-7702	low
EF Pantrops	EthPandaOps	high
PandaOps	EthPandaOps	high
Ekuta	Hegota	medium
Glamstadam	Glamsterdam	high
DevNuts	devnets	high
Forkast	Flashbots	low
