original	corrected	confidence
prison	Prysm	high
Prism	Prysm	high
definite 8	DevNet 8	high
Definite 7	DevNet 7	high
Devilate	DevNet 8	high
Demonade	DevNet 8	high
Devon8	DevNet 8	high
DebNet8	DevNet 8	high
Dalant 8	DevNet 8	high
Clamson Definite 8	Glamsterdam DevNet 8	high
Gloss	Gloas	high
gloss	Gloas	high
glows	Gloas	high
glowers	Gloas	high
Glamstronam	Glamsterdam	high
AgOTAR	Hegota	high
GoTa	Hegota	high
FUDU	Fulu	high
SSC	SSZ	high
SSS	SSZ	high
ELS	ELS	low
Porto's	Potuz	high
Jihan	jochem	high
Johim	jochem	high
Jocham	jochem-brouwer	medium
glamps to them	Glamsterdam	medium
Glamstodon	Glamsterdam	high
glamstone	Glamsterdam	high
Amsterdam	Glamsterdam	high
GlowApp	Gloas	medium
Yassine	gas limit	medium
SEL	CL	medium
Sierra	CL	medium
EnginePI	Engine API	medium
EIP8282	EIP-8282	low
EIP 8070	EIP-8070	low
