original	corrected	confidence
Sepolia attestnut	Sepolia testnet	high
CAGAC	SHAKE	low
CSAC	SHAKE	low
paramindex	parameter sets	low
Signetwork	signature	low
signator	signature	medium
signier	signer	medium
kijen	keygen	medium
Kijani	keygen	medium
kitchen	keygen	medium
TheHeGen	The keygen	medium
fork gen	four keygen	low
femoral	ephemeral	high
forza	FORS	medium
forts	FORS	medium
forte	FORS	medium
force	FORS	medium
Linux thinks	SPHINCS	medium
PQL lean Sphinx	post-quantum SPHINCS	low
Sphinx	SPHINCS+	low
zync	SPHINCS+	medium
Springs	SPHINCS+	medium
hypertory	hypertree	medium
hyperactic	hypertree	medium
fox	FORS	medium
Fox	FORS	medium
watts	WOTS	high
harsh	hash	medium
ashes	hashes	medium
dashes	hashes	medium
lashes	hashes	medium
Kesha	SHAKE	medium
