original	corrected	confidence
ZimZim	Zuum-Zuum	medium
ZimRim	Zuum-Reem	medium
Grand Dean	Grandine	high
Anshao	Anshal	medium
Kahir	Mihir	medium
Islamdar	ETHLambda	high
Plonkey 3	Plonky3	medium
Plonge 3	Plonky3	medium
CONKI3	CONKY3	medium
LeanVM	LeanVM	high
Onyu	Onur	medium
ease proof	ZK proof	medium
Monolith	Monolith	high
Des NET 4	DevNet 4	medium
Poseidon 1	Poseidon1	medium
Poseidon 2	Poseidon2	medium
POSA	POSEIDON	medium
definite	DevNet	high
Grafana	Grafana	high
Prometheus	Prometheus	high
observatory	Observatory	medium
Cairns	Cannes	medium
