original	corrected	confidence
Zeeam	Leem	medium
Q Rim	Prysm	medium
DevNet	devnet	high
Kulene	Kuleen	medium
Zim	Leem	medium
Grantine	Grandine	high
Geen	Guen	medium
Lantern	Lintern	medium
Veeam	Leem	medium
Kulin	Kuleen	medium
Lin Multisig	Lean Multisig	high
SSE	SSZ	medium
Lanton	Lintern	medium
PARTA	Partha	medium
Linspec	LeanSpec	high
LeanSpec	LeanSpec	high
Unispec	LeanSpec	high
Bitcoin chain	beacon chain	medium
post-Aid	post-quantum	medium
DevNets	devnets	high
PQL bit	PQ heartbeat	medium
PQLB	PQ heartbeat	medium
PQR bit	PQ heartbeat	medium
Stroh map	roadmap	medium
PQ at bit	PQ heartbeat	medium
G star fork	Glamsterdam fork	medium
lean roadmap	Lean roadmap	high
LinVM	LeanVM	high
PromQ3	Plonky3	high
Plonkey 3	Plonky3	high
Linspec	LeanSpec	high
LeanVM	LeanVM	high
Ling Grafana	Lean Grafana	high
