original	corrected	confidence
Orco Devs	All Core Devs	high
Glamstadam	Glamsterdam	high
HeGotta	Hegota	high
Glamstam	Glamsterdam	high
Baldavinet	bal-devnet	high
Baldevon	bal-devnet	high
Bell DevNet	bal-devnet	high
gramslam.net	Glamsterdam devnet	high
Glamstagram	Glamsterdam	high
Greg Siegel	Glamsterdam	medium
Deku	Teku	high
GlampSub.net	Glamsterdam devnet	high
Amsterdamn.net	Glamsterdam devnet	high
Glamsterum	Glamsterdam	high
Grump 7.5	Glamsterdam devnet 5	medium
Grumpson	Glamsterdam	medium
Baal	BAL	high
Amsterdam Dempnet	Glamsterdam devnet	high
Gamsatum	Glamsterdam	high
Hegelter	Hegota	high
Heikota	Hegota	high
Hikota	Hegota	high
Paktra	Pectra	high
Gamsonam	Glamsterdam	high
Gamstadump.net	Glamsterdam devnet	high
Glasadamp	Glamsterdam	high
a gooda	Hegota	high
Hagota	Hegota	high
Kogota	Hegota	high
Prism	Prysm	high
LeanVM	LeanVM	low
LIMBM	LeanVM	high
LinVM	LeanVM	high
Portis	Potuz	high
Putin	Potuz	high
Sanskr	Ansgar	medium
LightClamp	lightclient	medium
plaudible	plausible	high
Farnibus	Barnabas	medium
Banabas	Barnabas	medium
Bavon	Barnabas	medium
ACDSC	ACDC	high
AIPs	EIPs	high
APs	EIPs	high
EAPs	EIPs	high
ERPs	EIPs	high
