original	corrected	confidence
LinVM	LeanVM	high
Zim	Zeam	high
Dream	Ream	high
Xeem	Zeam	high
Colleen	Qlean	medium
Grandin	Grandine	high
Grinding	Grandine	high
Definite 4	DevNet 4	medium
Lint Spec	lean spec	high
Linux spec	lean spec	high
lien spec	lean spec	high
lean monthly	lean multi-sync	low
Eat Lambda	Ethlambda	high
ETH Lambda	Ethlambda	high
Eat lumber	Ethlambda	high
each lumber	Ethlambda	high
Ithlandi	Ethlambda	high
branding	Grandine	medium
stream	Ream	medium
dragon	Grandine	medium
gene	Gean	high
Jin	Gean	high
Veeam	Zeam	medium
Rion	Rayon	low
REON	Rayon	low
Bronc E3	Plonky3	low
SNARCs	SNARKs	high
possession	Poseidon	medium
Procedon	Poseidon	high
process 1	Poseidon	medium
Poseidon 1	Poseidon	medium
Koalaber	KoalaBear	medium
straw map	strawmap	high
Pata	Partha	medium
Parthasarathy	Parthasarathy	low
