original	corrected	confidence
Glamstadam	Glamsterdam	high
Prism	Prysm	high
Grandine	Grandine	high
Grandin	Grandine	high
loadstar	Lodestar	high
Bottus	Potuz	high
Photos	Potuz	high
Hagota	Hegota	high
GLOS	Gloas	high
GLESS	Gloas	high
Gloss	Gloas	high
Glow Ass	Gloas	high
glowless	Gloas	high
Teco	Teku	high
tackled	Teku	high
TechCu	Teku	high
techo	Teku	high
tech	Teku	medium
Techie	Teku	medium
Nevermind	Nethermind	high
Netherlands	Nethermind	high
portals	Potuz	high
Portos	Potuz	high
POTUS	Potuz	high
Barnibis	Barnabas	medium
Bernabus	Barnabas	high
Barnabis	Barnabas	high
cannabis	Barnabas	high
Labsodem	Glamsterdam	medium
Amsterdam	Glamsterdam	medium
EPBS	ePBS	high
EPB's	ePBS	high
SDF	SSZ	medium
ACDT	ACDT	high
ACDCT	ACDT	high
forkjas	fork choice	medium
DevStop	Death Star	medium
gloas	Gloas	high
