original	corrected	confidence
Glamstad	Glamsterdam	high
Epis	EIPs	medium
Gamson Devonne at 8	Glamsterdam DevNet 8	high
Platoburgit	Proto-Danksharding	low
concert at DevNet8	Glamsterdam DevNet 8	medium
StefNet 8	DevNet 8	medium
Lodesta	Lodestar	high
Prisma	Prysm	high
Prism	Prysm	high
Lamsterdam	Glamsterdam	high
Glassdoor.demin8	Glamsterdam devnet 8	medium
Lamsterdam's	Glamsterdam's	high
Glamster Dam	Glamsterdam	high
Amsterdam	Glamsterdam	medium
Hibochain	HiveChain	medium
Fazync	fuzzing	medium
AC37	EIP-37	low
gloss	Gloas	medium
bowels	blobs	medium
NetherMind prison	Nethermind Prysm	high
Teko	Teku	high
