original	corrected	confidence
Hegoda	Hegota	high
gloss	Gloas	high
Basil	Besu	high
framesDevNet	Hagota devnet	medium
Hikota	Hegota	high
Hegoda	Hegota	high
Basu	Besu	medium
Bezo	Besu	high
HOTUS	potuz	medium
Glampstone	Glamsterdam	high
Hagota	Hegota	high
Ikota	Hegota	high
Egota	Hegota	high
Coda	Hegota	medium
Gelato	Hegota	medium
Higota	Hegota	high
Glenstran	Glamsterdam	high
Glamstram	Glamsterdam	high
Lancaster Dam	Glamsterdam	high
Aragon	Erigon	high
EasterX	ethrex	high
Etherex	ethrex	high
EtherX	ethrex	high
Basu	Besu	high
Basie	Besu	high
Breath	Reth	high
Venom	Vyper	medium
frames	RIP-7560	low
SECCODEFROM	SETCODEFROM	medium
SetCodeFrom	set_code_from	low
