original	corrected	confidence
EPBS	ePBS	high
Prism	Prysm	high
Aragon	Erigon	high
Bisu	Besu	high
never mind	Nethermind	high
Wrath	Reth	high
Loadstar	Lodestar	high
the coup	Teku	high
Deku	Teku	high
DevNetuna	DevNet 2	medium
definite 2	DevNet 2	high
definite 3	DevNet 3	high
Definite 2	DevNet 2	high
Definite 3	DevNet 3	high
Ball DevNet 3	Blob DevNet 3	high
adijad	at all	medium
Checkpoint Z	Checkpoint Sync	medium
DEFNETS	DevNets	high
DEFNET	DevNet	high
ERPs	EIPs	high
acidify	SFI	high
AT37	EIP-7637	medium
hacky EIP	half-complete EIP	low
Etherndy	EthR&D	medium
