original	corrected	confidence
AllCoreDev's	All Core Devs	high
ethoscoping	Hegota	low
Glamst there	Glamsterdam	high
Ramsden	Glamsterdam	high
Hagota	Hegota	high
Agoda	Hegota	high
ACDET	ACDT	high
Glemson	Glamsterdam	high
Glamst Lab	Glamsterdam	high
acidified	SFI'd	medium
Higuta	Hegota	high
Heikota	Hegota	high
Lomsadam	Glamsterdam	high
Glamstadam	Glamsterdam	high
Glomsadam	Glamsterdam	high
Gromsadam	Glamsterdam	high
Glamstrdom	Glamsterdam	high
Glamstrt	Glamsterdam	high
Klamsterdam	Glamsterdam	high
Gamslam	Glamsterdam	high
Glamst Lab	Glamsterdam	high
Ecuador	Hegota	medium
Atrex	ethrex	high
Dread	ethrex	medium
Nethermine	Nethermind	high
Nether might	Nethermind	medium
Dreth	ethrex	medium
Fossil	FOCIL	high
SSE Execution Box	SSZ execution blocks	medium
SSV	SSZ	high
Cath	Geth	medium
Higata	Hegota	high
Agota	Hegota	high
Hugo	Hegota	medium
ECHOTA	Hegota	high
ACDP	ACDE	medium
Spicebot Pool	sparse blob pool	high
Beeso	Besu	high
Bals	BAL	medium
Bulse	BAL	medium
BlockNet access list	block-level access list	medium
