original	corrected	confidence
Glamstrome	Glamsterdam	high
Hagoda	Hegota	high
Glambstaddam	Glamsterdam	high
Glambsterdam	Glamsterdam	high
non-family	non-finality	high
Trent	trunk	high
DEFNET10	devnet-10	high
definite	devnet	high
Definite9	devnet-9	high
Nevermind	Nethermind	high
GeF	Geth	high
GAF	Geth	high
Aragon	Erigon	high
Ref	Reth	high
EGOTA	Hegota	high
Frains	Frames	high
Fossil	FOCIL	high
Oregon	Erigon	high
HeGotta	Hegota	high
headquarter	Hegota	high
EGOTA	Hegota	high
Glamstram	Glamsterdam	high
Glamstadam	Glamsterdam	high
I-Star	H-star	medium
Lean Consensus	lean spec	medium
