original	corrected	confidence
Dumpstergram.4	Glamsterdam devnet 4	high
Glapsodam	Glamsterdam	high
Prism	Prysm	high
Glamstadam	Glamsterdam	high
NetherRind	Nethermind	high
Eragon	Erigon	high
eTrex	ethrex	high
Hagota	Hegota	high
Hepota	Hegota	high
Headquota	Hegota	high
Headquarter	Hegota	high
Hecota	Hegota	high
Heikoda	Hegota	high
Higota	Hegota	high
Yakota	Hegota	high
Hekota	Hegota	high
Tikku	Teku	high
Lone Star	Lodestar	high
JSTAR	Hegota	medium
Globass	Gloas	high
GLOS	Gloas	high
Greek laws	Gloas	high
Globass	Gloas	high
Amsterdam	Glamsterdam	medium
Lamster	Glamsterdam	medium
Clampsadam	Glamsterdam	high
Clampsadam	Glamsterdam	high
Svalgard	Glamsterdam	medium
ECAP	EIP-8148	medium
