original	corrected	confidence
Nethermine	Nethermind	high
glamsterum	Glamsterdam	high
Glamstadam	Glamsterdam	high
Glamstam	Glamsterdam	medium
Glamstep	Glamsterdam	medium
Glamstone	Glamsterdam	medium
Glumpstone	Glamsterdam	medium
Lamstam	Glamsterdam	medium
Gramstagram	Glamsterdam	high
Grandstagram	Glamsterdam	high
BaldevNet	BAL devnet	medium
Bad DevNet	BAL devnet	medium
Etherix	Erigon	medium
Itrax	Erigon	medium
Itrex	Erigon	medium
Erdogan	Erigon	medium
Aragon	Erigon	high
Bizzle	Besu	medium
Basil	Besu	medium
Prism	Prysm	high
Nevermind	Nethermind	high
Netherland	Nethermind	medium
EAP	EIP	high
CIP	EIP	medium
SSD	SSZ	medium
Gloss	Gloas	medium
hardfog	hard fork	medium
REST SSC	REST SSZ	medium
SSC	SSZ	high
Paul DevNet	BAL devnet	medium
Bolt 7	BAL devnet 7	medium
Bell DevNet	BAL devnet	medium
Constant DevNet	Glamsterdam devnet	medium
Amsterdam	Glamsterdam	medium
Glam5	glamsterdam-devnet-5	low
