original	corrected	confidence
Prhythm	Prysm	high
Gloas	Gloas	high
Glamstrdom	Glamsterdam	high
Globus DevNet	Gloas DevNet	medium
GlamstrM	Glamsterdam	high
Glow Us	Gloas	medium
GLAS	Gloas	medium
PRISM	Prysm	high
Prism	Prysm	high
RODAS	RowDAS	high
Zodas	RowDAS	medium
Hagota	Hegota	high
Lindier	Lindia	low
Linzieri	Lindia	low
Lynn Die	Lindia	low
linVM	LeanVM	high
Lindsier	Lindia	low
India land	Lindia land	low
Merco	Merkle	medium
Mercury	Merkle	medium
Malcolm	Merkle	medium
Merck's	Merkle	medium
BlockNercy	Merkle	medium
Miracle	Merkle	medium
kzgrew	KZG	medium
kzidil	KZG	medium
kCG	KZG	high
EIPU	EIP	medium
EIPI	EIP	medium
RFCL	RFC	medium
EIP2P	libp2p	medium
Boggle	Waggle	high
WOGO	Waggle	high
vagal	Waggle	medium
gossipsub	gossip-sub	low
Goly P2PubSub	gossip-sub	medium
Golip P2P PubSub	gossip-sub	medium
GoQuick	go-quic	low
WorkGo	go-quic	low
QuickCore	go-quic	medium
Quickstreams	QUIC streams	medium
quick	QUIC	medium
Quick	QUIC	medium
Quickstreams	QUIC streams	medium
ATNets	attnets	medium
zyncnets	syncnets	medium
zkulums	columns	low
ForHeel	For real	low
spars blot pool	sparse blob pool	high
unspass Bot Pool	sparse blob pool	high
Spurs Boku	sparse blob	high
Boku	blob	medium
Honda Oves	handover	low
CAIC	QUIC	low
LPOS	PeerDAS	low
SMS leads	edge cases	low
VIP	EIP	medium
DAS spec	PeerDAS spec	low
Gett	Get	medium
EC Broadcast	ECBroadcast	low
ECBroadcast	EC-broadcast	low
zik	ZK	medium
ZKPs	ZKPs	low
FLCL	FOCIL	high
NetherMind	Nethermind	high
ACDC	ACDC	low
BPO	BPO	low
Amsterdam	Glamsterdam	high
LINDA	Lindia	low
linVM proof	LeanVM proof	high
Poseidon proof	Poseidon	low
