original	corrected	confidence
Higota	Hegota	high
Gloss	Gloas	high
Prism	Prysm	high
Taku	Teku	high
Lone Star	Lodestar	high
Loadstar	Lodestar	high
Ladstar	Lodestar	high
prison	Prysm	high
techfall	Teku	high
techool	Teku	high
loads directs	Lodestar	high
Randy	Grandine	medium
Glamstaden	Glamsterdam	high
Glada	Glamsterdam	medium
GoTa	Hegota	medium
G star	Glamsterdam	medium
Glomsadam	Glamsterdam	high
EtherMD	ETH R&D	medium
Forecast	Forecaster	low
FLCL	FOCIL	high
EnginePI	Engine API	high
SSE Engine API	SSZ Engine API	medium
SSG Engine API	SSZ Engine API	medium
DevP2P	devp2p	low
