original	corrected	confidence
Glenser Ameziane 7	Glamsterdam devnet 7	high
RAT	Reth	high
Prism	Prysm	high
Loser	Lodestar	medium
Grending	Grandine	high
Eragon	Erigon	high
Taku	Teku	high
Taco	Teku	high
Nethermine	Nethermind	high
Ericon	Erigon	high
EriGene	Erigon	high
Etherex	ethrex	high
E3X	ethrex	high
Amsterdam DevNet 7	Glamsterdam devnet 7	high
Eregon	Erigon	high
Netherland	Nethermind	high
GetHead	Geth	medium
GetH	Geth	high
Nephomite	Nethermind	high
Koodi	Hoodi	high
Glanstam	Glamsterdam	high
GLOA	Gloas	high
gloss	Gloas	medium
Heze	Hegota	low
Agata	Hegota	medium
EPBS	ePBS	high
Potus	potuz	medium
Cotus	potuz	medium
Bosul	potuz	low
JohimNet	YohimNet	low
Jocknet	YohimNet	medium
JochenNet	YohimNet	medium
State Doctor	state actor	medium
Estate ACDOR	state actor	high
OCAM	SLOAD	low
AmegAS	SLOAD	low
AT70	EIP-7702	medium
AC70	EIP-7702	medium
AT38	EIP-7038	medium
DISC 5	discv5	medium
Disquee 5	discv5	high
disk v4	discv5	low
FDC5	discv5	medium
D35	discv5	medium
AllCoreDevs Testing 9T	ACDT	medium
Fanteco	Teku	medium
