original	corrected	confidence
Hagoda	Hegota	high
Hecota	Hegota	high
Hagoda	Hegota	high
Clagota	Hegota	high
forkota	Hegota	high
Heikoda	Hegota	high
Heigwater	Hegota	high
Hegwater	Hegota	high
DevNote	devnet	high
Definitely	devnet	high
Definite	devnet	high
Bezu	Besu	high
Bisu	Besu	high
Glamstrim	Glamsterdam	high
Glamstratom	Glamsterdam	high
Gramsterdam	Glamsterdam	high
Glamstadam	Glamsterdam	high
Glam Cidam	Glamsterdam	high
Glasidam	Glamsterdam	high
Nemstrav	Glamsterdam	high
Glamster down	Glamsterdam	high
Amsterdam	Glamsterdam	high
Prism	Prysm	high
Teco	Teku	high
Tegu	Teku	high
TechU	Teku	high
Tikku	Teku	high
Tikku	Teku	high
Bosul	FOCIL	low
Fossil	FOCIL	medium
LinVM	LeanVM	medium
Rezger	erasure	low
BloxyBlox	Blocks and blobs	low
Gladoscoping	Hegota scoping	low
Heigota	Hegota	high
