original	corrected	confidence
Zim	Zeam	high
Zoom Client	Zeam client	high
all-zeeam	all-Zeam	high
zeeam	Zeam	high
Ziggly P2P	QUIC P2P	low
all-zeeam	all-Zeam	high
Zoom only	Zeam only	high
EAT Lambda	ETHLambda	high
Islamdal	ETHLambda	medium
Gene	Gean	high
Guin	Gean	high
June	Gean	medium
SSE layout	SSZ layout	high
Grinding	Grandine	high
Grandim	Grandine	high
LeanSpec	lean spec	medium
Islamana	ETHLambda	high
interrupts	interops	medium
shutter compatible	Shadow compatible	medium
shadow seams	Shadow sims	medium
Kajinder	Gajinder	medium
Bachinder	Gajinder	medium
LSTRA	lean spec	low
Coal-Laber	Collaber	low
blood proof	block proof	medium
