original	corrected	confidence
Rigotta	Hegota	high
Hekota	Hegota	high
Higota	Hegota	high
Augodas	Hegota	high
Glam Saddam	Glamsterdam	high
glum slam	Glamsterdam	high
Clamsterdam	Glamsterdam	high
Gloucester	Glamsterdam	high
GlancerGem	Glamsterdam	high
Fossil	FOCIL	high
fossil	FOCIL	high
VUBS	FOCIL	medium
verbs	VUBS	medium
VOPS	VUBS	medium
VUBs	VUBS	medium
UPS	VUBS	medium
Cortosis	Prysm	low
Etherex	ethrex	high
EPBS	ePBS	high
EAPs	EIPs	high
EAP	EIP	high
ERP	EIP	high
EAP58	EIP58	high
Keynancies	key nonces	medium
Keynote's	key nonces	medium
CKVM	zkVM	medium
Blockcloud	Block-Level	medium
Blockflow	Block-Level	medium
Block Club	Block-Level Access List	medium
PAL	BAL	medium
Amsterdam	Glamsterdam	high
Hegarta	Hegota	high
Acdt	ACDT	high
ECDE	ACDE	high
ACVT	ACDT	high
MetaEEP	Meta EIP	medium
MetaEAP	Meta EIP	medium
MetaEP	Meta EIP	medium
EIP H2H2	EIP 8282	low
Glamstadam	Glamsterdam	high
