original	corrected	confidence
AllCoreDev's	All Core Devs	high
Heikota	Hegota	high
Taku	Teku	high
Techo	Teku	high
GetHrex	ethrex	high
Ericon	Erigon	high
Enrath	Reth	medium
Glumstart	Glamsterdam	high
gloves around	Glamsterdam	medium
Glamstadam	Glamsterdam	high
Definite Aid	devnet 8	medium
Diskree	discv5	medium
diskv5	discv5	medium
Kutosis	Kurtosis	high
klutosis	Kurtosis	high
SSC	SSZ	high
Merkel-patricia Tribe	Merkle Patricia Trie	high
Merkel proof	Merkle proof	high
Hagata	Hegota	high
Headquarter	Hegota	medium
OpenZapping	OpenZeppelin	high
Boomfield	bloom field	medium
Boom Filters	Bloom filters	medium
log spoon	logs bloom	medium
