original	corrected	confidence
Jocham	Jochem	high
NetherMind	Nethermind	high
Nethermined	Nethermind	high
Prism	Prysm	high
gloss fork	Gloas fork	high
LOS transition	Gloas transition	high
Glois work	Gloas fork	high
clamps to them	Glamsterdam	high
Glasadamus	Glamsterdam	high
Glambsterdam	Glamsterdam	high
glumps at them	Glamsterdam	high
Agota	Hegota	high
Hagota	Hegota	high
Hagotides	Hegota	high
Hikata	Hegota	high
HiGatta	Hegota	high
HeGutar	Hegota	high
HeGotta	Hegota	high
be guitar	Hegota	high
Hakata	Hegota	high
Sagota	Hegota	high
Tragluta	Hegota	medium
erex	ethrex	high
Johimnet	jochemnet	high
Johim	jochem	high
prison	Prysm	high
EAST tests	EEST tests	medium
ELS	EEST	low
