original	corrected	confidence
Allcard	All Core Devs	high
all Cortez	All Core Devs	high
Glenser	Glamsterdam	high
a prism	Prysm	high
DevNet6	devnet-6	medium
Glamstream's	Glamsterdam's	high
SSE	SSZ	high
Glamstram	Glamsterdam	high
Clamsburg	Glamsterdam	high
Glamstadum	Glamsterdam	high
Beso	Besu	high
NetherMind	Nethermind	high
Hegelter	Hegota	high
Hagota	Hegota	high
Hakota	Hegota	high
Hagoda	Hegota	high
EAPs	EIPs	high
Meta EAP	Meta EIP	high
Mete APs	Meta EIPs	high
MetaEP	Meta EIP	high
Aragon	Erigon	high
air gun	Erigon	high
Erica	Erigon	high
Bay sewer	Besu	high
Bisu	Besu	high
Bezu	Besu	high
ACDT	ACDE	medium
ACTT	ACDE	medium
Amsterdam	Glamsterdam	high
clamps around	Glamsterdam	high
SPFI	CFI	medium
Hagoda	Hegota	high
Cyra	Cyrus	medium
