original	corrected	confidence
Fossil Breakout	FOCIL Breakout	high
Fossil deveness	FOCIL devnet	high
FOCILD Zero	FOCIL devnet-0	high
Lone Star	Lodestar	high
FOCO DefNet Zero	FOCIL devnet-0	high
FOCIO branch	FOCIL branch	high
taiku	Teku	high
Lifestar	Lodestar	high
Techu	Teku	high
Lowestar	Lodestar	high
Betsu	Besu	high
Tethermind	Nethermind	high
RATH team	Reth team	high
Etrex	ethrex	high
E3X	ethrex	medium
Vessel	Besu	high
Bezu	Besu	high
NetherMind	Nethermind	medium
ELTS	ELs	medium
EPKs	happy paths	low
ACDP	ACDE	medium
ADS ACD	All Core Devs	medium
rhymes	frames	medium
