original	corrected	confidence
Bowel Definite 7	bal-devnet-7	high
Val DevNet 7	bal-devnet-7	high
about Definite 7	bal-devnet-7	high
Amsterdam DevNet 5	Glamsterdam devnet-5	high
Amsterdam DevNet 6	Glamsterdam devnet-6	high
Klamsterdam DevNet 6	Glamsterdam devnet-6	high
Prism	Prysm	high
prison	Prysm	high
Tegu	Teku	high
TechCo	Teku	medium
LiDAR	Lido	high
kortosis	Kurtosis	high
DEFNET	devnet	high
GASH	Geth	medium
E3X	Erigon	medium
SSC	SSZ	high
Valvert	Pectra	low
Aragneed	Arachnid	low
Arrakneet	Arachnid	low
Arachneet	Arachnid	low
ArachNet	Arachnid	low
ArachLid	Arachnid	low
Iraqinate	Arachnid	high
Arachine	Arachnid	high
Arachneet	Arachnid	high
RIC nit	Arachnid	high
Glampstead	Glamsterdam	high
Glamstaden	Glamsterdam	high
Glamp system	Glamsterdam	high
Glamstead	Glamsterdam	high
